Date,Product ID,Name,Amount,Size Value,Size Unit,Price (BDT),Old Price (BDT),Discount (%),SKU,Vendor,Category,Scraped Category,Units Sold,Rating,URL
2026-09-11,78534,Arnotts Tim Tam Milk Chocolate Biscuit 120g,120 g,120.0,g,200.0,,,DSP02009,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/arnotts-tim-tam-milk-chocolate-biscuit-120g
2026-09-11,78535,Cadbury Temptations Rum & Raisins 72 ±3gm,3 g,3.0,g,250.0,,,DSP02010,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-temptation-rum-raisins-72gm
2026-09-11,78536,Arnotts TimTam Vanilla Biscuit 120gm,120 g,120.0,g,200.0,,,DSP02011,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/arnotts-timtam-vanilla-biscuit-120gm
2026-09-11,78537,Tiffany Delights Bourbon Biscuit  200gm,200 g,200.0,g,470.0,,,DSP02012,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/tiffany-delights-bourbon-biscuit-250gm
2026-09-11,78538,Besler  Kalem Kesme Penne Rigate  500gm,500 g,500.0,g,120.0,,,DSP02013,Daily Shopping,macaroni,macaroni,,5.0,https://othoba.com/besler-kalem-kesme-penne-rigate-500gm
2026-09-11,78539,Tiffany Delights Butter Cookies -80 gm,80 g,80.0,g,300.0,,,DSP02014,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/tiffany-delights-butter-cookies-100-gm
2026-09-11,78540,Santa Sophia La Pasta Rotini 500gm,500 g,500.0,g,140.0,,,DSP02015,Daily Shopping,macaroni,macaroni,,5.0,https://othoba.com/santa-sophia-la-pasta-rotini-500gm
2026-09-11,78541,Besler Midye Makarma 500gm,500 g,500.0,g,130.0,,,DSP02016,Daily Shopping,macaroni,macaroni,,0.0,https://othoba.com/besler-midye-makarma-500gm
2026-09-11,78542,Tiffany Delights ShortbreadsBiscuit200g,200 g,200.0,g,510.0,,,DSP02017,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/tiffany-delights-short-breads-biscuit-200g
2026-09-11,78543,Besler Short Cut 250gm,250 g,250.0,g,130.0,,,DSP02018,Daily Shopping,macaroni,macaroni,,0.0,https://othoba.com/besler-short-cut-250gm
2026-09-11,78544,Cadbury Dairy Milk Lickables 20gm,20 g,20.0,g,112.0,,,DSP02019,Daily Shopping,chocolate-candy,chocolate-candy,,5.0,https://othoba.com/cadbury-dairy-milk-lickables-20gm
2026-09-11,78545,Tiffany Digestive Nat. Wheat Biscuit 250g,250 g,250.0,g,280.0,,,DSP02020,Daily Shopping,biscuit-cookies,biscuit-cookies,,0.0,https://othoba.com/tiffany-digestive-nat-wheat-biscuit-250g
2026-09-11,78546,Julies Cheese Crackers Tin 700gm,700 g,700.0,g,998.0,,,DSP02021,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/elit-gourmet-collection-truffle-43gm
2026-09-11,78547,Besler Spaghetti 500gm,500 g,500.0,g,120.0,,,DSP02022,Daily Shopping,macaroni,macaroni,,0.0,https://othoba.com/besler-spaghetti-500gm
2026-09-11,78548,Julies Butter Crackers 250gm,250 g,250.0,g,350.0,,,DSP02023,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/elit-gourmet-collection-truffle-225gm
2026-09-11,78549,Cadbury Bournville Raisin&Nut 80 ±3gm,3 g,3.0,g,250.0,,,DSP02024,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-bournville-raisin-nut-80gm-in
2026-09-11,78550,Cadbury Bournville Rich Cocoa 31 ±3gm,3 g,3.0,g,105.0,,,DSP02025,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-bournville-cranberry-33gm
2026-09-11,78551,JB Coin Chocolate 112gm,112 g,112.0,g,340.0,,,DSP02026,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/jb-coin-chocolate-112gm-5500001536
2026-09-11,78552,Cadbury Bournville Raisin & Nut 33gm IN,33 g,33.0,g,100.0,,,DSP02027,Daily Shopping,chocolate-candy,chocolate-candy,,0.0,https://othoba.com/cadbury-bournville-raisin-nut-33gm-in
